nomem_encr,nohouse_encr,diet,theta,beta,alpha
861538,548410,meat,.57777786,.75,.25
861584,512924,meat,.34444442,.75,.25
861871,550283,meat,.37037039,.75,.25
861953,588220,meat,.26296297,.5,.5
862161,534808,meat,.074074112,.75,.25
862399,528616,meat,.93703699,.75,.25
862637,590182,meat,.5,.25,.75
862756,569378,meat,.29259267,.5,.5
862832,566223,meat,.96296293,.75,.25
862960,578289,meat,.055555504,0,1
863000,512991,meat,.30000004,.5,.5
863345,528744,veg,.66666669,.75,.25
863476,500970,meat,.38518524,.5,.5
863552,578039,meat,.73333329,1,0
863693,527255,meat,.11851851,.75,.25
863790,547778,meat,.80740738,.75,.25
863940,573181,meat,.68888885,.75,.25
864102,547073,meat,.87037039,.75,.25
864257,513903,meat,1,.75,.25
864529,518090,meat,.87777776,.75,.25
864581,522213,meat,.30370378,.5,.5
864642,521221,meat,.25185189,.25,.75
865182,569183,meat,.39259258,.5,.5
865600,567327,meat,.10740741,.5,.5
865982,587695,meat,.30370364,.75,.25
866619,506411,meat,.3481482,.25,.75
866796,591964,meat,.5333333,.75,.25
867193,504235,meat,-.059259254,.75,.25
867352,539431,meat,.35555553,.75,.25
867370,584655,meat,.22222216,.75,.25
867599,505297,meat,.44444451,.75,.25
867675,559091,meat,.86666662,.75,.25
867700,532952,meat,.56296301,.75,.25
867733,574249,meat,.67407399,.75,.25
867755,579992,meat,.37037039,.25,.75
867977,590188,meat,-.33333334,.5,.5
867993,532498,meat,.42222229,.5,.5
868041,519781,meat,.81851846,.75,.25
868151,577789,meat,.45925936,.75,.25
868261,583209,veg,.86666662,.75,.25
868267,538955,veg,.67777777,.75,.25
868289,519558,meat,.47037044,.75,.25
868371,546829,meat,.05185191,.75,.25
868820,565808,meat,.52592593,.5,.5
868984,566976,meat,.88888884,.5,.5
869277,517086,meat,-.25925931,.75,.25
869400,570468,meat,.33333334,.25,.75
869427,550793,meat,.71851856,.75,.25
869531,510159,meat,.15185182,.5,.5
869689,506988,meat,.85925931,.75,.25
869857,530181,meat,.75925922,.75,.25
869912,543606,meat,.52962953,.75,.25
870062,562817,meat,.44444451,.5,.5
870510,546353,meat,.51111108,.75,.25
870690,537545,meat,.71111107,.75,.25
871102,597329,meat,.51111108,.5,.5
871224,550982,meat,-1,.75,.25
871408,537713,meat,.62962961,.75,.25
871417,531591,meat,.87037039,1,0
871853,586016,veg,.25185189,.75,.25
871920,556158,veg,.53703707,1,0
872024,557312,meat,.58518523,.5,.5
872149,577465,meat,.54074079,1,0
872406,550244,meat,0,.25,.75
872671,525662,meat,.5,1,0
872674,532092,meat,.36296287,.75,.25
872891,527236,meat,.12962961,1,0
873016,504183,meat,.32592583,.25,.75
873269,590237,meat,.68888885,1,0
873440,507571,meat,.48518515,.5,.5
873489,571633,meat,.21851857,.5,.5
873947,550228,meat,.61481476,.75,.25
873999,596780,meat,.34444442,.25,.75
874002,587451,meat,.75555563,.75,.25
874060,578039,meat,.0222222,.75,.25
874118,552841,meat,1,.75,.25
874176,550982,meat,-.074074112,1,0
874328,590917,meat,.12222227,.75,.25
874343,550793,meat,.64444447,.75,.25
875106,581466,meat,.75925922,.5,.5
875213,540960,meat,.57407409,.75,.25
875445,587097,meat,.51111108,.25,.75
875622,536627,meat,.37777773,.75,.25
875646,569976,meat,.60370368,.5,.5
875753,551901,meat,.762963,.75,.25
875885,559698,meat,.38888884,.5,.5
876028,535696,meat,.41851854,.5,.5
876107,591213,meat,.18888886,.75,.25
876226,522653,meat,.57037038,.75,.25
876278,537619,meat,.5666666,1,0
876290,528332,meat,1,1,0
876376,569320,meat,.074074112,.75,.25
876422,503042,meat,.90740746,1,0
876626,541760,meat,-.18888886,.5,.5
876644,597750,meat,.84074068,.75,.25
876647,523748,meat,.94074076,1,0
876721,533035,meat,.4666667,.25,.75
876831,580477,meat,.53703707,1,0
876882,520416,meat,.52962953,.5,.5
876980,563931,meat,.72592592,.5,.5
876992,539422,meat,.16666667,.75,.25
877102,522976,meat,.4666667,.5,.5
877206,563247,meat,.64444447,1,0
877478,567327,meat,.22592592,.75,.25
877575,519555,meat,-.2074074,.75,.25
877658,535589,meat,.4481481,.75,.25
877954,585406,meat,0,.75,.25
877975,521084,meat,.27407408,.75,.25
877999,533450,meat,.49259248,.5,.5
878027,549533,meat,.84444445,.75,.25
878210,505874,meat,.3481482,.5,.5
878222,502478,meat,.64444447,1,0
878573,506268,meat,.15185182,.25,.75
878784,569180,meat,.27777782,.75,.25
878826,579443,meat,.5333333,.75,.25
878939,539346,meat,.45185184,.75,.25
878979,500564,meat,.65555555,.75,.25
879092,503561,meat,.44444451,.75,.25
879211,502993,meat,.85185176,.5,.5
879895,556555,meat,.47037044,.5,.5
879959,549874,meat,1,.75,.25
880023,505068,meat,.60740739,.5,.5
880456,501123,meat,.31111112,.75,.25
881069,503137,meat,.7703703,.5,.5
881179,558331,meat,.762963,.75,.25
881271,596481,meat,.49259266,.75,.25
881311,563159,meat,.82222223,.5,.5
881375,541503,meat,-.0222222,.25,.75
881427,558889,meat,.42962965,.5,.5
881481,508346,meat,.040740807,.5,.5
881527,506179,meat,.35925928,.75,.25
881726,598022,meat,.38888884,.75,.25
881838,572576,meat,-.18148153,.75,.25
881863,595379,meat,.5333333,.5,.5
881875,506268,meat,.40740743,.5,.5
881881,567816,meat,.65185183,.5,.5
882046,599148,meat,1,.25,.75
882150,521847,meat,.055555504,.75,.25
882449,596072,meat,.49074078,.75,.25
882507,547778,meat,.18888886,.5,.5
882513,511795,meat,.7037037,1,0
882849,580587,meat,.55555552,.25,.75
883169,523501,meat,.78148144,.75,.25
883258,553909,meat,.0074073472,.75,.25
883346,556918,meat,.65185183,.5,.5
883453,533666,meat,.19999997,.25,.75
883618,578887,meat,.30740738,.5,.5
884191,569229,meat,.28148142,.75,.25
884286,503338,meat,.51111108,.5,.5
884310,535922,meat,.8629629,1,0
884320,561898,meat,.74444437,.75,.25
884350,526748,meat,.49629626,.25,.75
884707,583270,meat,.35925928,1,0
884744,509912,meat,.15185182,.25,.75
884811,563070,veg,.74814814,.75,.25
884826,513394,veg,.27777782,.5,.5
884860,555755,meat,.60740739,.75,.25
884918,510671,meat,.088888802,.75,.25
884936,527255,meat,-.077777781,.5,.5
884970,520886,meat,1,.75,.25
885391,594787,meat,.40370369,.75,.25
885552,568347,meat,.39999995,.75,.25
885705,573907,meat,.41851854,.5,.5
885714,524734,meat,.737037,.75,.25
885809,524868,meat,.27777782,.5,.5
885977,519555,meat,.0111111,.5,.5
886065,504183,meat,1,.5,.5
886233,504937,meat,.86666662,1,0
886291,568630,meat,.28518519,.75,.25
886361,589733,meat,.13333321,1,0
886651,573907,meat,.71111107,.75,.25
886764,584567,meat,.21111107,.75,.25
887344,542523,meat,.23703702,.75,.25
887365,576129,meat,.37037039,.5,.5
887380,545632,meat,.45555559,.75,.25
887939,540509,meat,.52592593,.5,.5
888024,550244,meat,0,.5,.5
888211,561642,meat,.37407413,.5,.5
888406,550244,meat,.29629627,.75,.25
888424,568539,meat,.60000008,.75,.25
888665,589294,meat,.12962961,.25,.75
888681,523104,meat,-.22592592,.75,.25
888903,583010,meat,.64444447,.75,.25
888906,521890,meat,.15185182,.5,.5
889108,550991,meat,.75555563,.75,.25
889279,545684,meat,.33703709,.75,.25
889459,566546,meat,.58888894,.75,.25
889556,506506,meat,.16666667,.5,.5
889715,550936,meat,.71111107,.75,.25
889923,510644,meat,.30740738,.75,.25
890081,502267,meat,.8296296,1,0
890118,563711,meat,.044444401,.75,.25
890234,592016,meat,.58888894,.75,.25
890270,558624,meat,.87407398,.5,.5
890521,505786,meat,-.029629627,.75,.25
890579,528320,meat,.71111107,.75,.25
890768,543545,meat,.4481481,.5,.5
890856,563864,meat,.80000001,.5,.5
891043,521868,meat,-1,.75,.25
891061,501660,meat,.68888885,.75,.25
891101,530819,meat,.62592584,.5,.5
891229,581567,meat,.68888885,.5,.5
891448,585720,meat,.36666664,.5,.5
892376,519216,meat,.68888885,.25,.75
892425,587918,meat,.31111112,1,0
892477,500970,meat,.10740741,1,0
892996,554467,meat,.63333338,.75,.25
893008,581872,meat,.80000001,.75,.25
893051,502572,meat,.5666666,.75,.25
893362,575183,meat,.6370371,.75,.25
893365,553472,meat,.60000008,1,0
893435,589718,meat,.4666667,.75,.25
