event,kind,t,agent,partner,partner_diet,memory_buffer_diet_source_t
18096,rev,302997,1895,,,
18097,conv,303008,1643,105.0,meat,"[[""meat"", 30, 284296], [""veg"", 535, 290394], [""veg"", 105, 290612], [""veg"", 535, 292943], [""veg"", 535, 293161], [""veg"", 30, 293479], [""veg"", 105, 299170], [""meat"", 30, 299700], [""meat"", 105, 303008]]"
18098,rev,303013,804,,,
18099,conv,303026,1957,424.0,veg,"[[""veg"", 424, 282989], [""veg"", 902, 290951], [""veg"", 424, 291709], [""veg"", 56, 291915], [""veg"", 902, 293712], [""veg"", 902, 295432], [""veg"", 424, 298656], [""veg"", 902, 299221], [""veg"", 424, 303026]]"
18100,conv,303034,17,1672.0,veg,"[[""veg"", 544, 285405], [""veg"", 1159, 289809], [""meat"", 1075, 294605], [""meat"", 1363, 295119], [""veg"", 572, 296849], [""veg"", 541, 298477], [""veg"", 160, 300310], [""veg"", 1782, 300453], [""veg"", 1672, 303034]]"
18101,rev,303035,225,,,
18102,rev,303040,228,,,
18103,rev,303041,297,,,
18104,rev,303042,391,,,
18105,conv,303056,1465,1622.0,veg,"[[""meat"", 161, 274597], [""veg"", 726, 279131], [""veg"", 1503, 282388], [""veg"", 161, 286785], [""veg"", 1503, 287596], [""veg"", 1503, 288264], [""meat"", 161, 293561], [""veg"", 726, 297286], [""veg"", 1622, 303056]]"
18106,rev,303057,448,,,
18107,conv,303082,1148,1996.0,veg,"[[""veg"", 1996, 260154], [""veg"", 1996, 273288], [""meat"", 371, 277236], [""meat"", 551, 280458], [""veg"", 1221, 282706], [""veg"", 1996, 288133], [""veg"", 1221, 298090], [""veg"", 22, 299596], [""veg"", 1996, 303082]]"
18108,rev,303086,627,,,
18109,rev,303088,1167,,,
18110,conv,303089,1920,216.0,veg,"[[""veg"", 5, 246049], [""meat"", 216, 249375], [""veg"", 1202, 259428], [""meat"", 1202, 268971], [""veg"", 288, 274938], [""veg"", 1202, 277218], [""veg"", 5, 284507], [""veg"", 5, 293132], [""veg"", 216, 303089]]"
18111,conv,303114,1034,38.0,veg,"[[""veg"", 16, 273320], [""meat"", 893, 274845], [""veg"", 38, 285688], [""veg"", 38, 291906], [""veg"", 38, 291960], [""meat"", 547, 298048], [""meat"", 893, 298867], [""veg"", 38, 300960], [""veg"", 38, 303114]]"
18112,rev,303119,530,,,
18113,rev,303128,973,,,
18114,conv,303129,1131,1995.0,meat,"[[""meat"", 1995, 288651], [""veg"", 102, 289239], [""veg"", 755, 290622], [""veg"", 102, 292824], [""veg"", 10, 293935], [""veg"", 755, 297148], [""veg"", 1995, 299690], [""veg"", 755, 301693], [""meat"", 1995, 303129]]"
18115,rev,303130,609,,,
18116,conv,303136,830,1994.0,veg,"[[""veg"", 45, 254652], [""veg"", 1994, 256358], [""meat"", 45, 258658], [""veg"", 1202, 262250], [""veg"", 1202, 278341], [""meat"", 66, 295124], [""meat"", 45, 297450], [""meat"", 45, 300057], [""veg"", 1994, 303136]]"
18117,rev,303137,78,,,
18118,conv,303138,828,650.0,meat,"[[""meat"", 724, 235573], [""veg"", 460, 236589], [""meat"", 724, 255942], [""veg"", 28, 274716], [""veg"", 28, 279179], [""veg"", 28, 285032], [""veg"", 460, 295738], [""veg"", 650, 297323], [""meat"", 650, 303138]]"
18119,rev,303146,974,,,
18120,conv,303149,383,350.0,meat,"[[""meat"", 350, 292785], [""veg"", 1104, 294806], [""veg"", 296, 295346], [""meat"", 254, 295855], [""meat"", 254, 296219], [""veg"", 792, 298830], [""veg"", 10, 299517], [""veg"", 1104, 300259], [""meat"", 350, 303149]]"
18121,rev,303152,1188,,,
18122,conv,303153,1110,1155.0,veg,"[[""veg"", 16, 267419], [""veg"", 51, 268016], [""veg"", 34, 273279], [""veg"", 34, 275188], [""veg"", 1155, 285156], [""veg"", 458, 287816], [""veg"", 16, 294305], [""veg"", 1155, 296756], [""veg"", 1155, 303153]]"
18123,rev,303157,465,,,
18124,rev,303167,1283,,,
18125,conv,303170,1704,81.0,veg,"[[""veg"", 1993, 275437], [""veg"", 77, 277024], [""veg"", 412, 278876], [""veg"", 77, 285053], [""veg"", 81, 286608], [""veg"", 81, 290758], [""veg"", 1993, 295007], [""veg"", 1296, 301435], [""veg"", 81, 303170]]"
18126,rev,303172,729,,,
18127,conv,303180,1167,1586.0,meat,"[[""veg"", 17, 295746], [""veg"", 1035, 295825], [""veg"", 1035, 296777], [""veg"", 17, 298196], [""veg"", 171, 302105], [""veg"", 544, 302242], [""veg"", 171, 302862], [""veg"", 544, 303088], [""meat"", 1586, 303180]]"
18128,rev,303186,1511,,,
18129,rev,303190,1058,,,
18130,rev,303198,800,,,
18131,rev,303201,564,,,
18132,conv,303203,1586,1080.0,veg,"[[""veg"", 1080, 274544], [""veg"", 544, 277544], [""veg"", 171, 279353], [""veg"", 171, 285362], [""meat"", 1080, 288259], [""veg"", 171, 295526], [""veg"", 171, 297367], [""veg"", 171, 299074], [""veg"", 1080, 303203]]"
18133,rev,303205,1211,,,
18134,conv,303210,1871,76.0,veg,"[[""veg"", 1205, 265178], [""veg"", 1533, 266806], [""veg"", 254, 268753], [""veg"", 76, 269942], [""veg"", 254, 271040], [""veg"", 254, 271183], [""veg"", 1533, 282049], [""meat"", 76, 283327], [""veg"", 76, 303210]]"
18135,rev,303234,995,,,
18136,rev,303235,1870,,,
18137,conv,303238,632,1739.0,veg,"[[""veg"", 2, 280084], [""meat"", 442, 286925], [""meat"", 2, 289276], [""veg"", 899, 292723], [""veg"", 1739, 293222], [""veg"", 1439, 294098], [""veg"", 899, 302166], [""veg"", 899, 302220], [""veg"", 1739, 303238]]"
18138,conv,303241,1490,1840.0,veg,"[[""veg"", 931, 268500], [""meat"", 1840, 273738], [""meat"", 838, 276250], [""veg"", 931, 278878], [""veg"", 1840, 281392], [""veg"", 1840, 291707], [""veg"", 1840, 293191], [""meat"", 1150, 293917], [""veg"", 1840, 303241]]"
18139,rev,303253,1837,,,
18140,conv,303254,1587,59.0,veg,"[[""veg"", 59, 274550], [""veg"", 59, 277103], [""veg"", 59, 281620], [""veg"", 148, 285488], [""veg"", 256, 287280], [""veg"", 256, 290516], [""veg"", 59, 292809], [""veg"", 148, 294639], [""veg"", 59, 303254]]"
18141,rev,303261,1867,,,
18142,rev,303264,514,,,
18143,rev,303298,1655,,,
18144,rev,303310,1373,,,
18145,rev,303320,730,,,
18146,conv,303323,131,1278.0,veg,"[[""meat"", 668, 266312], [""meat"", 668, 266855], [""veg"", 3, 274807], [""veg"", 0, 275683], [""veg"", 1661, 290611], [""veg"", 1005, 296840], [""veg"", 1887, 297587], [""veg"", 1188, 298497], [""veg"", 1278, 303323]]"
18147,rev,303326,307,,,
18148,rev,303330,928,,,
18149,rev,303333,1016,,,
18150,rev,303339,300,,,
18151,conv,303340,1193,903.0,veg,"[[""veg"", 670, 266910], [""veg"", 670, 267879], [""veg"", 903, 273491], [""veg"", 903, 276734], [""veg"", 670, 278159], [""veg"", 670, 283212], [""veg"", 903, 295134], [""veg"", 670, 300741], [""veg"", 903, 303340]]"
18152,rev,303341,953,,,
18153,rev,303349,143,,,
18154,rev,303350,1402,,,
18155,conv,303356,350,383.0,veg,"[[""veg"", 728, 278419], [""veg"", 10, 278510], [""meat"", 327, 280544], [""veg"", 254, 282559], [""veg"", 728, 284666], [""veg"", 296, 285395], [""veg"", 383, 289008], [""veg"", 383, 289873], [""veg"", 383, 303356]]"
18156,conv,303365,1698,1335.0,meat,"[[""veg"", 1335, 266762], [""veg"", 1335, 268077], [""veg"", 1335, 275152], [""veg"", 1340, 278432], [""veg"", 1335, 280990], [""veg"", 1335, 291194], [""veg"", 1340, 297240], [""veg"", 1340, 297600], [""meat"", 1335, 303365]]"
18157,rev,303370,742,,,
18158,rev,303373,1567,,,
18159,conv,303380,1026,735.0,veg,"[[""veg"", 1356, 279074], [""meat"", 208, 280232], [""veg"", 51, 281333], [""veg"", 51, 281772], [""meat"", 208, 285083], [""veg"", 735, 287783], [""veg"", 51, 291986], [""veg"", 674, 293918], [""veg"", 735, 303380]]"
18160,rev,303387,1456,,,
18161,rev,303388,270,,,
18162,rev,303393,1642,,,
18163,conv,303394,365,4.0,veg,"[[""veg"", 1909, 275365], [""veg"", 1909, 275975], [""veg"", 4, 277374], [""veg"", 4, 281186], [""veg"", 1102, 290212], [""veg"", 354, 299231], [""veg"", 180, 300365], [""veg"", 4, 301511], [""veg"", 4, 303394]]"
18164,rev,303404,1801,,,
18165,conv,303409,122,770.0,veg,"[[""veg"", 6, 265905], [""meat"", 839, 267159], [""veg"", 0, 272425], [""veg"", 894, 272621], [""veg"", 290, 273240], [""veg"", 290, 282365], [""meat"", 894, 282653], [""veg"", 1216, 296743], [""veg"", 770, 303409]]"
18166,rev,303424,350,,,
18167,conv,303431,68,1156.0,veg,"[[""meat"", 1172, 284798], [""veg"", 545, 287845], [""veg"", 1393, 291602], [""meat"", 1751, 295182], [""veg"", 1400, 295362], [""veg"", 1172, 299283], [""veg"", 73, 299560], [""meat"", 1149, 302007], [""veg"", 1156, 303431]]"
18168,conv,303441,241,1269.0,veg,"[[""meat"", 1279, 270142], [""veg"", 18, 270926], [""veg"", 413, 271486], [""meat"", 1279, 277066], [""veg"", 1554, 279491], [""veg"", 1269, 281470], [""veg"", 1269, 294932], [""veg"", 718, 301960], [""veg"", 1269, 303441]]"
18169,rev,303442,498,,,
18170,conv,303443,852,21.0,veg,"[[""veg"", 691, 262589], [""meat"", 921, 265886], [""veg"", 1502, 277864], [""veg"", 1502, 278468], [""meat"", 691, 288613], [""meat"", 90, 291209], [""meat"", 90, 293994], [""meat"", 90, 297885], [""veg"", 21, 303443]]"
18171,rev,303444,725,,,
18172,conv,303449,590,135.0,veg,"[[""meat"", 996, 277977], [""meat"", 135, 278660], [""veg"", 0, 282199], [""veg"", 996, 287551], [""meat"", 1101, 295080], [""veg"", 135, 296382], [""meat"", 45, 296767], [""veg"", 0, 297652], [""veg"", 135, 303449]]"
18173,rev,303460,829,,,
18174,rev,303462,1275,,,
18175,rev,303467,1846,,,
18176,conv,303476,1944,1182.0,veg,"[[""veg"", 1182, 273432], [""veg"", 1182, 275279], [""meat"", 1952, 278132], [""veg"", 874, 280525], [""veg"", 1182, 285485], [""veg"", 697, 290115], [""veg"", 536, 297754], [""veg"", 1182, 299121], [""veg"", 1182, 303476]]"
18177,rev,303492,1957,,,
18178,rev,303493,337,,,
18179,rev,303498,726,,,
18180,conv,303499,742,22.0,meat,"[[""meat"", 1152, 287970], [""veg"", 680, 293080], [""veg"", 22, 293345], [""veg"", 680, 296413], [""veg"", 680, 296957], [""veg"", 1810, 300308], [""veg"", 702, 301192], [""veg"", 968, 303370], [""meat"", 22, 303499]]"
18181,conv,303503,404,444.0,veg,"[[""veg"", 444, 272028], [""meat"", 1385, 273041], [""veg"", 106, 273344], [""veg"", 32, 287039], [""meat"", 1385, 287630], [""veg"", 444, 300400], [""veg"", 1385, 301336], [""veg"", 444, 301759], [""veg"", 444, 303503]]"
18182,rev,303504,476,,,
18183,conv,303507,1919,5.0,veg,"[[""veg"", 141, 274079], [""veg"", 141, 275812], [""meat"", 260, 279008], [""veg"", 5, 282411], [""veg"", 136, 285400], [""meat"", 1057, 299789], [""veg"", 5, 301312], [""veg"", 5, 301965], [""veg"", 5, 303507]]"
18184,conv,303512,418,977.0,veg,"[[""veg"", 183, 263260], [""veg"", 1304, 269255], [""veg"", 183, 270047], [""veg"", 183, 270899], [""meat"", 243, 276507], [""veg"", 977, 285275], [""veg"", 284, 297987], [""veg"", 1304, 301195], [""veg"", 977, 303512]]"
18185,conv,303514,629,1762.0,meat,"[[""veg"", 974, 281017], [""meat"", 1618, 282160], [""veg"", 1334, 287482], [""veg"", 16, 293046], [""veg"", 16, 293337], [""veg"", 1364, 294863], [""meat"", 974, 295140], [""veg"", 1618, 301311], [""meat"", 1762, 303514]]"
18186,rev,303522,1425,,,
18187,rev,303528,136,,,
18188,rev,303544,1502,,,
18189,rev,303545,1352,,,
18190,rev,303546,715,,,
18191,rev,303559,1071,,,
18192,rev,303577,572,,,
18193,rev,303591,1704,,,
18194,conv,303603,726,944.0,meat,"[[""veg"", 1829, 277946], [""meat"", 944, 280367], [""veg"", 28, 285626], [""veg"", 1186, 287860], [""meat"", 777, 293405], [""meat"", 161, 295011], [""meat"", 1465, 297670], [""veg"", 28, 303498], [""meat"", 944, 303603]]"
18195,conv,303607,1225,36.0,veg,"[[""veg"", 915, 280908], [""veg"", 432, 281177], [""veg"", 432, 282156], [""veg"", 432, 283427], [""veg"", 706, 288424], [""veg"", 432, 295779], [""meat"", 432, 299553], [""meat"", 432, 302165], [""veg"", 36, 303607]]"
18196,rev,303623,282,,,
18197,conv,303637,1431,13.0,veg,"[[""veg"", 13, 280875], [""meat"", 26, 281121], [""veg"", 13, 282514], [""veg"", 13, 285021], [""veg"", 13, 286479], [""veg"", 26, 291153], [""veg"", 13, 294632], [""meat"", 468, 298752], [""veg"", 13, 303637]]"
18198,conv,303645,1286,852.0,veg,"[[""meat"", 300, 258332], [""veg"", 691, 261170], [""veg"", 691, 265818], [""veg"", 572, 267779], [""meat"", 300, 274852], [""veg"", 691, 278675], [""veg"", 852, 283808], [""veg"", 852, 284620], [""veg"", 852, 303645]]"
18199,conv,303646,895,1021.0,veg,"[[""veg"", 268, 279380], [""meat"", 1021, 281568], [""meat"", 49, 284774], [""veg"", 294, 285144], [""veg"", 367, 285671], [""veg"", 1021, 286992], [""veg"", 367, 295510], [""veg"", 268, 301124], [""veg"", 1021, 303646]]"
18200,rev,303648,1131,,,
18201,conv,303674,500,33.0,meat,"[[""meat"", 15, 281981], [""veg"", 1324, 282281], [""veg"", 229, 283240], [""meat"", 1608, 288319], [""veg"", 1324, 291324], [""veg"", 1324, 293900], [""meat"", 33, 295357], [""veg"", 1324, 296472], [""meat"", 33, 303674]]"
18202,conv,303675,1801,44.0,veg,"[[""meat"", 8, 280041], [""veg"", 822, 283194], [""veg"", 822, 287436], [""meat"", 8, 289571], [""veg"", 21, 290044], [""veg"", 44, 296384], [""veg"", 822, 299899], [""meat"", 22, 303404], [""veg"", 44, 303675]]"
18203,rev,303679,1571,,,
18204,conv,303682,829,831.0,meat,"[[""veg"", 59, 281419], [""veg"", 949, 281465], [""veg"", 831, 288103], [""veg"", 831, 291013], [""veg"", 1999, 292826], [""veg"", 59, 299497], [""meat"", 327, 301688], [""meat"", 1999, 303460], [""meat"", 831, 303682]]"
18205,rev,303683,1423,,,
18206,rev,303696,122,,,
18207,conv,303715,1524,1043.0,veg,"[[""meat"", 212, 267493], [""veg"", 1043, 272773], [""veg"", 273, 273817], [""meat"", 273, 280168], [""veg"", 1043, 286003], [""veg"", 107, 287088], [""veg"", 111, 292605], [""meat"", 107, 297521], [""veg"", 1043, 303715]]"
18208,rev,303722,794,,,
18209,conv,303731,1154,27.0,veg,"[[""veg"", 27, 249281], [""meat"", 94, 250504], [""meat"", 94, 264625], [""meat"", 94, 265972], [""meat"", 94, 282476], [""meat"", 3, 283660], [""veg"", 576, 290038], [""veg"", 576, 293858], [""veg"", 27, 303731]]"
18210,rev,303733,1562,,,
18211,conv,303758,370,1414.0,veg,"[[""veg"", 185, 284614], [""veg"", 1876, 285297], [""veg"", 1876, 289847], [""veg"", 7, 290077], [""veg"", 336, 290301], [""veg"", 1414, 296880], [""veg"", 185, 299591], [""veg"", 608, 301607], [""veg"", 1414, 303758]]"
18212,conv,303764,1971,30.0,veg,"[[""veg"", 1664, 279715], [""meat"", 7, 281910], [""meat"", 30, 285693], [""meat"", 1664, 286677], [""veg"", 7, 288654], [""veg"", 7, 296903], [""meat"", 1664, 299903], [""veg"", 44, 302219], [""veg"", 30, 303764]]"
18213,conv,303770,687,827.0,veg,"[[""veg"", 0, 282848], [""meat"", 76, 285996], [""veg"", 952, 288102], [""veg"", 952, 288711], [""veg"", 482, 289700], [""veg"", 482, 292231], [""veg"", 29, 295499], [""veg"", 482, 299140], [""veg"", 827, 303770]]"
18214,conv,303771,1373,33.0,meat,"[[""veg"", 4, 274680], [""veg"", 480, 280272], [""meat"", 113, 284317], [""meat"", 113, 286596], [""veg"", 83, 287572], [""veg"", 4, 292563], [""veg"", 26, 297755], [""veg"", 83, 303310], [""meat"", 33, 303771]]"
18215,rev,303773,416,,,
18216,conv,303790,143,1015.0,veg,"[[""meat"", 179, 266234], [""veg"", 162, 269689], [""meat"", 368, 274515], [""veg"", 1873, 280333], [""veg"", 1544, 289378], [""meat"", 179, 292279], [""meat"", 616, 293058], [""veg"", 162, 303349], [""veg"", 1015, 303790]]"
18217,conv,303792,564,856.0,veg,"[[""meat"", 95, 286329], [""veg"", 1346, 287800], [""veg"", 36, 290947], [""veg"", 1346, 298017], [""veg"", 622, 298159], [""veg"", 856, 299618], [""veg"", 72, 301205], [""veg"", 905, 303201], [""veg"", 856, 303792]]"
18218,rev,303805,1177,,,
18219,rev,303806,1799,,,
18220,conv,303807,1549,22.0,meat,"[[""meat"", 149, 248127], [""veg"", 768, 255834], [""veg"", 22, 268534], [""veg"", 768, 275578], [""veg"", 935, 293837], [""veg"", 768, 295006], [""veg"", 865, 296976], [""meat"", 22, 302222], [""meat"", 22, 303807]]"
18221,conv,303814,609,253.0,veg,"[[""veg"", 6, 278235], [""veg"", 376, 278746], [""veg"", 376, 282614], [""meat"", 724, 284355], [""meat"", 376, 285352], [""meat"", 308, 300541], [""veg"", 613, 302160], [""meat"", 376, 303130], [""veg"", 253, 303814]]"
18222,rev,303819,859,,,
18223,rev,303820,471,,,
18224,rev,303822,140,,,
18225,rev,303823,1484,,,
18226,rev,303828,1259,,,
18227,rev,303839,1626,,,
18228,rev,303846,180,,,
18229,conv,303857,1704,77.0,meat,"[[""veg"", 412, 278876], [""veg"", 77, 285053], [""veg"", 81, 286608], [""veg"", 81, 290758], [""veg"", 1993, 295007], [""veg"", 1296, 301435], [""veg"", 81, 303170], [""veg"", 1296, 303591], [""meat"", 77, 303857]]"
18230,rev,303883,599,,,
18231,rev,303889,1123,,,
18232,rev,303894,869,,,
18233,conv,303898,567,29.0,meat,"[[""veg"", 29, 275187], [""veg"", 29, 279223], [""veg"", 1089, 283211], [""veg"", 1221, 283546], [""meat"", 74, 291533], [""meat"", 57, 299783], [""meat"", 57, 300545], [""veg"", 729, 300699], [""meat"", 29, 303898]]"
18234,rev,303905,1555,,,
18235,conv,303907,859,24.0,veg,"[[""meat"", 24, 249227], [""meat"", 115, 270806], [""veg"", 24, 274942], [""veg"", 115, 280826], [""veg"", 772, 284327], [""veg"", 240, 296481], [""veg"", 772, 303273], [""veg"", 24, 303819], [""veg"", 24, 303907]]"
18236,conv,303913,1473,190.0,veg,"[[""veg"", 1051, 260626], [""meat"", 1629, 262488], [""veg"", 1051, 265052], [""veg"", 190, 265732], [""veg"", 190, 273507], [""veg"", 8, 281383], [""veg"", 1629, 282835], [""meat"", 391, 293428], [""veg"", 190, 303913]]"
18237,conv,303915,1626,641.0,meat,"[[""veg"", 16, 283117], [""meat"", 33, 284795], [""veg"", 168, 287056], [""veg"", 168, 288108], [""veg"", 168, 293979], [""veg"", 641, 296015], [""meat"", 858, 297834], [""veg"", 16, 303839], [""meat"", 641, 303915]]"
18238,rev,303933,83,,,
18239,rev,303957,1248,,,
18240,conv,303964,1509,1058.0,meat,"[[""veg"", 1191, 285863], [""meat"", 346, 285867], [""veg"", 1191, 288587], [""veg"", 1058, 292631], [""meat"", 330, 293696], [""meat"", 346, 296185], [""veg"", 1058, 298522], [""veg"", 1058, 301831], [""meat"", 1058, 303964]]"
18241,conv,303966,1555,749.0,meat,"[[""veg"", 812, 276202], [""meat"", 375, 276771], [""veg"", 812, 281807], [""meat"", 1709, 284617], [""meat"", 1590, 287553], [""meat"", 50, 289406], [""veg"", 109, 299384], [""veg"", 109, 303905], [""meat"", 749, 303966]]"
18242,rev,303967,753,,,
18243,rev,303975,976,,,
18244,rev,303989,1829,,,
18245,conv,303999,995,175.0,meat,"[[""veg"", 175, 281727], [""veg"", 242, 286508], [""veg"", 109, 286791], [""veg"", 242, 289136], [""veg"", 1021, 292915], [""veg"", 1096, 293365], [""veg"", 1340, 294600], [""meat"", 435, 303234], [""meat"", 175, 303999]]"
18246,conv,304000,1362,606.0,veg,"[[""veg"", 64, 289695], [""veg"", 692, 289782], [""veg"", 606, 289852], [""veg"", 64, 290006], [""veg"", 606, 290609], [""veg"", 606, 291938], [""veg"", 1257, 292750], [""veg"", 692, 302329], [""veg"", 606, 304000]]"
18247,conv,304004,1106,585.0,veg,"[[""veg"", 585, 280541], [""veg"", 633, 289247], [""meat"", 1549, 289666], [""veg"", 585, 291266], [""veg"", 865, 292095], [""veg"", 633, 293733], [""veg"", 585, 293816], [""veg"", 585, 298572], [""veg"", 585, 304004]]"
18248,conv,304009,961,410.0,meat,"[[""veg"", 432, 275383], [""veg"", 1983, 280682], [""veg"", 38, 281069], [""veg"", 1983, 283603], [""veg"", 289, 289480], [""veg"", 289, 290179], [""veg"", 289, 290241], [""veg"", 1983, 296681], [""meat"", 410, 304009]]"
18249,conv,304010,1253,397.0,meat,"[[""veg"", 190, 266056], [""veg"", 416, 268060], [""veg"", 416, 277627], [""veg"", 115, 283995], [""veg"", 4, 292679], [""veg"", 416, 295066], [""veg"", 190, 300968], [""veg"", 190, 301141], [""meat"", 397, 304010]]"
18250,conv,304014,575,322.0,veg,"[[""veg"", 5, 281321], [""veg"", 93, 282551], [""meat"", 142, 285799], [""veg"", 93, 289432], [""veg"", 93, 289504], [""veg"", 93, 294799], [""veg"", 322, 297199], [""veg"", 93, 300216], [""veg"", 322, 304014]]"
18251,conv,304020,1578,378.0,veg,"[[""veg"", 378, 273914], [""veg"", 378, 276758], [""meat"", 1299, 283023], [""veg"", 378, 286662], [""veg"", 1342, 290457], [""meat"", 1299, 294759], [""meat"", 1342, 298115], [""meat"", 1299, 300324], [""veg"", 378, 304020]]"
18252,rev,304033,557,,,
18253,conv,304034,1529,747.0,veg,"[[""veg"", 974, 267243], [""veg"", 1818, 271381], [""meat"", 422, 273376], [""veg"", 974, 278846], [""veg"", 747, 290007], [""meat"", 974, 294752], [""veg"", 32, 295536], [""veg"", 747, 300235], [""veg"", 747, 304034]]"
18254,conv,304049,1248,864.0,veg,"[[""veg"", 1172, 264709], [""veg"", 1172, 268998], [""veg"", 1172, 275200], [""veg"", 1172, 276225], [""veg"", 864, 276585], [""meat"", 1172, 291030], [""veg"", 531, 300149], [""veg"", 864, 303957], [""veg"", 864, 304049]]"
18255,rev,304052,1945,,,
18256,conv,304054,730,140.0,meat,"[[""veg"", 188, 275528], [""veg"", 49, 280602], [""veg"", 1300, 285182], [""veg"", 987, 285881], [""meat"", 49, 289651], [""veg"", 1349, 292727], [""veg"", 13, 301510], [""veg"", 1300, 303320], [""meat"", 140, 304054]]"
18257,conv,304059,974,918.0,veg,"[[""veg"", 1762, 279334], [""meat"", 918, 281918], [""veg"", 1974, 287364], [""meat"", 1762, 287784], [""veg"", 288, 289880], [""veg"", 1974, 290726], [""veg"", 1974, 297330], [""meat"", 1529, 303146], [""veg"", 918, 304059]]"
18258,rev,304061,1074,,,
18259,rev,304068,635,,,
18260,conv,304072,1176,26.0,veg,"[[""meat"", 170, 272608], [""veg"", 87, 280970], [""veg"", 87, 282268], [""veg"", 1359, 292454], [""veg"", 1359, 294387], [""veg"", 170, 295893], [""veg"", 170, 299040], [""meat"", 95, 301097], [""veg"", 26, 304072]]"
18261,rev,304077,51,,,
18262,conv,304080,1258,825.0,veg,"[[""veg"", 81, 277841], [""veg"", 825, 279227], [""veg"", 81, 280643], [""veg"", 119, 286439], [""veg"", 119, 291262], [""veg"", 81, 293372], [""veg"", 825, 295344], [""veg"", 81, 300458], [""veg"", 825, 304080]]"
18263,conv,304083,1027,184.0,veg,"[[""veg"", 1446, 274358], [""meat"", 80, 275283], [""veg"", 1050, 276383], [""veg"", 1446, 293209], [""veg"", 1050, 293399], [""veg"", 1077, 295892], [""veg"", 80, 296474], [""veg"", 1446, 299307], [""veg"", 184, 304083]]"
18264,conv,304092,1870,1155.0,veg,"[[""veg"", 352, 282589], [""veg"", 352, 285263], [""meat"", 647, 285798], [""veg"", 1155, 288411], [""meat"", 647, 293249], [""meat"", 647, 297457], [""veg"", 1155, 301913], [""veg"", 352, 303235], [""veg"", 1155, 304092]]"
18265,rev,304098,1315,,,
18266,conv,304104,425,246.0,meat,"[[""veg"", 32, 274844], [""veg"", 39, 275396], [""meat"", 246, 277123], [""veg"", 32, 279591], [""veg"", 32, 290550], [""veg"", 1393, 293178], [""meat"", 246, 299136], [""veg"", 332, 302009], [""meat"", 246, 304104]]"
18267,rev,304109,1855,,,
18268,rev,304129,1952,,,
18269,rev,304132,1148,,,
18270,conv,304137,1177,530.0,meat,"[[""veg"", 53, 282470], [""veg"", 1399, 288243], [""veg"", 53, 290585], [""veg"", 53, 295912], [""veg"", 59, 301571], [""veg"", 53, 302021], [""veg"", 81, 302526], [""veg"", 53, 303805], [""meat"", 530, 304137]]"
18271,conv,304146,582,191.0,veg,"[[""meat"", 66, 272428], [""meat"", 52, 274636], [""veg"", 191, 275124], [""veg"", 187, 280258], [""veg"", 1025, 281000], [""veg"", 187, 283472], [""meat"", 66, 284385], [""veg"", 923, 298926], [""veg"", 191, 304146]]"
18272,conv,304152,1377,1593.0,veg,"[[""veg"", 579, 254832], [""veg"", 579, 260775], [""veg"", 1593, 265837], [""veg"", 256, 267367], [""veg"", 1593, 273758], [""veg"", 290, 280782], [""veg"", 256, 282280], [""veg"", 1593, 298702], [""veg"", 1593, 304152]]"
18273,rev,304156,535,,,
18274,conv,304157,535,1.0,veg,"[[""veg"", 105, 264675], [""veg"", 960, 280273], [""veg"", 1643, 283371], [""meat"", 142, 287589], [""veg"", 1643, 291039], [""veg"", 105, 293991], [""meat"", 1, 294609], [""veg"", 1, 304156], [""veg"", 1, 304157]]"
18275,conv,304175,1119,44.0,veg,"[[""veg"", 618, 261120], [""meat"", 44, 261933], [""veg"", 618, 262261], [""veg"", 66, 264867], [""veg"", 618, 269407], [""meat"", 72, 275447], [""meat"", 66, 280436], [""meat"", 44, 284842], [""veg"", 44, 304175]]"
18276,conv,304176,517,669.0,veg,"[[""veg"", 11, 277246], [""veg"", 698, 278813], [""veg"", 910, 280197], [""veg"", 450, 281827], [""veg"", 1211, 284494], [""veg"", 11, 285077], [""veg"", 450, 293682], [""meat"", 910, 300111], [""veg"", 669, 304176]]"
18277,rev,304179,1960,,,
18278,conv,304185,122,290.0,veg,"[[""veg"", 0, 272425], [""veg"", 894, 272621], [""veg"", 290, 273240], [""veg"", 290, 282365], [""meat"", 894, 282653], [""veg"", 1216, 296743], [""veg"", 770, 303409], [""veg"", 839, 303696], [""veg"", 290, 304185]]"
18279,conv,304187,911,28.0,veg,"[[""veg"", 28, 268846], [""meat"", 386, 269950], [""veg"", 967, 283639], [""veg"", 386, 286968], [""veg"", 166, 297291], [""meat"", 386, 299139], [""veg"", 1717, 300214], [""veg"", 166, 302275], [""veg"", 28, 304187]]"
18280,conv,304189,137,1912.0,meat,"[[""veg"", 59, 282137], [""meat"", 1912, 285931], [""veg"", 149, 286948], [""veg"", 13, 288407], [""veg"", 1515, 291484], [""veg"", 166, 298853], [""veg"", 15, 300917], [""veg"", 1075, 300924], [""meat"", 1912, 304189]]"
18281,rev,304198,1834,,,
18282,rev,304199,1023,,,
18283,conv,304200,1484,366.0,veg,"[[""veg"", 366, 266253], [""meat"", 204, 274493], [""veg"", 204, 279722], [""veg"", 301, 286721], [""veg"", 366, 296628], [""veg"", 366, 297813], [""veg"", 204, 302016], [""veg"", 301, 303823], [""veg"", 366, 304200]]"
